n,time,a,b,c
1,9.53674e-07,0,0,0,
2,0,0,0,0,
3,0,0,0,0,
4,0,0,0,0,
5,0,0,0,0,
6,9.53674e-07,0,0,0,
7,0,0,0,0,
8,0,0,0,0,
9,9.53674e-07,0,0,0,
10,9.53674e-07,0,0,0,
11,9.53674e-07,0,0,0,
12,9.53674e-07,0,0,0,
13,2.14577e-06,0,0,0,
14,2.86102e-06,0,0,0,
15,5.00679e-06,0,0,0,
16,8.10623e-06,0,0,0,
17,1.19209e-05,0,0,0,
18,1.97887e-05,0,0,0,
19,3.21865e-05,0,0,0,
20,5.29289e-05,0,0,0,
21,8.39233e-05,0,0,0,
22,0.000142097,0,0,0,
23,0.000221014,0,0,0,
24,0.000366926,0,0,0,
25,0.000592947,0,0,0,
26,0.000967979,0,0,0,
27,0.00153613,0,0,0,
28,0.00302005,0,0,0,
29,0.00411892,0,0,0,
30,0.006603,0,0,0,
31,0.15468,0,0,0,
32,0.0170522,0,0,0,
33,0.192511,0,0,0,
34,0.200881,0,0,0,
35,0.392748,0,0,0,
